id,longitude,latitude,cumulative_dist,path_len,point_type,move_time,path_key,origin,destination,partial_dist
0,32.876,28.925,0.0,6401.63,o,0,suez&panama,suez,panama,0.0
1,32.4917,30.165,76.89,6401.63,p,1,suez&panama,suez,panama,76.89
2,31.9408,31.5172,162.7,6401.63,p,2,suez&panama,suez,panama,85.81
3,9.7447,37.3399,1315.01,6401.63,p,3,suez&panama,suez,panama,1152.31
4,-5.6109,36.0128,2059.57,6401.63,p,4,suez&panama,suez,panama,744.56
5,-65.6493,18.2798,5389.38,6401.63,p,5,suez&panama,suez,panama,3329.81
6,-79.6753,9.5778,6358.08,6401.63,p,6,suez&panama,suez,panama,968.7
7,-79.7649,9.3283,6373.9,6401.63,p,7,suez&panama,suez,panama,15.8199999999997
8,-79.55,8.916,6401.63,6401.63,d,8,suez&panama,suez,panama,27.7300000000005
0,32.876,28.925,0.0,5032.43,o,0,suez&capetown,suez,capetown,0.0
1,43.4716,12.6883,1137.3,5032.43,p,1,suez&capetown,suez,capetown,1137.3
2,43.946,12.6032,1165.59,5032.43,p,2,suez&capetown,suez,capetown,28.29
3,50.7728,11.9803,1568.3,5032.43,p,3,suez&capetown,suez,capetown,402.71
4,51.2869,11.8296,1599.85,5032.43,p,4,suez&capetown,suez,capetown,31.5500000000002
5,51.3849,10.399,1685.49,5032.43,p,5,suez&capetown,suez,capetown,85.6399999999999
6,40.5773,-15.4896,3360.01,5032.43,p,6,suez&capetown,suez,capetown,1674.52
7,35.4886,-24.1077,3949.96,5032.43,p,7,suez&capetown,suez,capetown,589.95
8,32.3876,-28.5325,4263.0,5032.43,p,8,suez&capetown,suez,capetown,313.04
9,30.059,-31.2353,4465.28,5032.43,p,9,suez&capetown,suez,capetown,202.28
10,27.9707,-32.9723,4614.08,5032.43,p,10,suez&capetown,suez,capetown,148.8
11,26.2635,-33.7734,4712.37,5032.43,p,11,suez&capetown,suez,capetown,98.29
12,25.5767,-34.0283,4749.91,5032.43,p,12,suez&capetown,suez,capetown,37.54
13,20.0,-35.0,5032.43,5032.43,d,13,suez&capetown,suez,capetown,282.52
0,-79.55,8.916,0.0,6527.23,o,0,panama&capetown,panama,capetown,0.0
1,-79.7649,9.3283,27.7299999999996,6527.23,p,1,panama&capetown,panama,capetown,27.7299999999996
2,-79.6753,9.5778,43.5499999999993,6527.23,p,2,panama&capetown,panama,capetown,15.8199999999997
3,-71.6755,12.4622,545.98,6527.23,p,3,panama&capetown,panama,capetown,502.43
4,-61.0072,10.6944,1183.01,6527.23,p,4,panama&capetown,panama,capetown,637.03
5,-35.3939,-5.2489,2987.39,6527.23,p,5,panama&capetown,panama,capetown,1804.38
6,20.0,-35.0,6527.23,6527.23,d,6,panama&capetown,panama,capetown,3539.84
